transaction_id,transaction_date,type,counterparty,description,amount,balance_after,linked_invoice_id
BT-000048,2024-06-10,outflow,Kontorikulud OÜ,Ostuarve PI-202405-0020 tasumine,-995.16,-6577.2,PI-202405-0020
BT-000049,2024-05-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-05,-15680.0,-22257.2,
BT-000050,2024-06-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-05,-1190.09,-23447.29,
BT-000051,2024-06-16,inflow,KÜ Tamme 12,Müügiarve SI-202406-0021 laekumine,1416.17,-22031.12,SI-202406-0021
BT-000052,2024-06-18,inflow,KÜ Pargi 8,Müügiarve SI-202406-0022 laekumine,1841.45,-20189.67,SI-202406-0022
BT-000053,2024-07-11,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202406-0023 laekumine,3356.49,-16833.18,SI-202406-0023
BT-000054,2024-06-19,inflow,KÜ Metsa 5,Müügiarve SI-202406-0024 laekumine,1273.86,-15559.32,SI-202406-0024
BT-000055,2024-06-25,outflow,Remondipartner OÜ,Ostuarve PI-202406-0021 tasumine,-3543.05,-19102.37,PI-202406-0021
BT-000056,2024-06-25,outflow,Puhastuspartner OÜ,Ostuarve PI-202406-0022 tasumine,-2134.5,-21236.87,PI-202406-0022
BT-000057,2024-07-07,outflow,Tarkvara OÜ,Ostuarve PI-202406-0023 tasumine,-675.28,-21912.15,PI-202406-0023
BT-000058,2024-07-11,outflow,Kontorikulud OÜ,Ostuarve PI-202406-0024 tasumine,-776.59,-22688.74,PI-202406-0024
BT-000059,2024-06-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-06,-15680.0,-38368.74,
BT-000060,2024-07-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-06,-146.81,-38515.55,
BT-000061,2024-07-15,inflow,KÜ Tamme 12,Müügiarve SI-202407-0025 laekumine,1447.71,-37067.84,SI-202407-0025
BT-000062,2024-07-20,inflow,KÜ Pargi 8,Müügiarve SI-202407-0026 laekumine,3338.87,-33728.97,SI-202407-0026
BT-000063,2024-08-22,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202407-0027 laekumine,3308.54,-30420.43,SI-202407-0027
BT-000064,2024-07-15,inflow,KÜ Metsa 5,Müügiarve SI-202407-0028 laekumine,3970.9,-26449.53,SI-202407-0028
BT-000065,2024-07-18,outflow,Remondipartner OÜ,Ostuarve PI-202407-0025 tasumine,-1278.76,-27728.29,PI-202407-0025
BT-000066,2024-07-24,outflow,Puhastuspartner OÜ,Ostuarve PI-202407-0026 tasumine,-2026.68,-29754.97,PI-202407-0026
BT-000067,2024-08-10,outflow,Tarkvara OÜ,Ostuarve PI-202407-0027 tasumine,-642.37,-30397.34,PI-202407-0027
BT-000068,2024-08-04,outflow,Kontorikulud OÜ,Ostuarve PI-202407-0028 tasumine,-820.67,-31218.01,PI-202407-0028
BT-000069,2024-07-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-07,-15680.0,-46898.01,
BT-000070,2024-08-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-07,-1412.42,-48310.43,
BT-000071,2024-08-15,inflow,KÜ Tamme 12,Müügiarve SI-202408-0029 laekumine,3553.57,-44756.86,SI-202408-0029
BT-000072,2024-08-17,inflow,KÜ Pargi 8,Müügiarve SI-202408-0030 laekumine,2026.17,-42730.69,SI-202408-0030
BT-000073,2024-09-14,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202408-0031 laekumine,3657.68,-39073.01,SI-202408-0031
BT-000074,2024-08-19,inflow,KÜ Metsa 5,Müügiarve SI-202408-0032 laekumine,1185.08,-37887.93,SI-202408-0032
BT-000075,2024-08-24,outflow,Remondipartner OÜ,Ostuarve PI-202408-0029 tasumine,-1397.12,-39285.05,PI-202408-0029
BT-000076,2024-08-20,outflow,Puhastuspartner OÜ,Ostuarve PI-202408-0030 tasumine,-1187.45,-40472.5,PI-202408-0030
BT-000077,2024-09-02,outflow,Tarkvara OÜ,Ostuarve PI-202408-0031 tasumine,-565.33,-41037.83,PI-202408-0031
BT-000078,2024-09-05,outflow,Kontorikulud OÜ,Ostuarve PI-202408-0032 tasumine,-758.77,-41796.6,PI-202408-0032
BT-000079,2024-08-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-08,-15680.0,-57476.6,
BT-000080,2024-09-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-08,-1260.74,-58737.34,
BT-000081,2024-09-19,inflow,KÜ Tamme 12,Müügiarve SI-202409-0033 laekumine,1415.2,-57322.14,SI-202409-0033
BT-000082,2024-09-22,inflow,KÜ Pargi 8,Müügiarve SI-202409-0034 laekumine,1775.77,-55546.37,SI-202409-0034
BT-000083,2024-10-15,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202409-0035 laekumine,3566.18,-51980.19,SI-202409-0035
BT-000084,2024-09-17,inflow,KÜ Metsa 5,Müügiarve SI-202409-0036 laekumine,1246.92,-50733.27,SI-202409-0036
BT-000085,2024-09-26,outflow,Remondipartner OÜ,Ostuarve PI-202409-0033 tasumine,-2574.5,-53307.77,PI-202409-0033
BT-000086,2024-09-24,outflow,Puhastuspartner OÜ,Ostuarve PI-202409-0034 tasumine,-2017.17,-55324.94,PI-202409-0034
BT-000087,2024-10-06,outflow,Tarkvara OÜ,Ostuarve PI-202409-0035 tasumine,-350.93,-55675.87,PI-202409-0035
BT-000088,2024-10-09,outflow,Kontorikulud OÜ,Ostuarve PI-202409-0036 tasumine,-555.53,-56231.4,PI-202409-0036
BT-000089,2024-09-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-09,-15680.0,-71911.4,
BT-000090,2024-10-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-09,-485.03,-72396.43,
BT-000091,2024-10-22,inflow,KÜ Tamme 12,Müügiarve SI-202410-0037 laekumine,1505.36,-70891.07,SI-202410-0037
BT-000092,2024-10-23,inflow,KÜ Pargi 8,Müügiarve SI-202410-0038 laekumine,4373.26,-66517.81,SI-202410-0038
BT-000093,2024-11-16,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202410-0039 laekumine,4810.49,-61707.32,SI-202410-0039
BT-000094,2024-10-16,inflow,KÜ Metsa 5,Müügiarve SI-202410-0040 laekumine,1151.53,-60555.79,SI-202410-0040
BT-000095,2024-10-18,outflow,Remondipartner OÜ,Ostuarve PI-202410-0037 tasumine,-2475.6,-63031.39,PI-202410-0037
BT-000096,2024-10-25,outflow,Puhastuspartner OÜ,Ostuarve PI-202410-0038 tasumine,-1225.27,-64256.66,PI-202410-0038
BT-000097,2024-11-10,outflow,Tarkvara OÜ,Ostuarve PI-202410-0039 tasumine,-672.84,-64929.5,PI-202410-0039
BT-000098,2024-11-03,outflow,Kontorikulud OÜ,Ostuarve PI-202410-0040 tasumine,-1052.09,-65981.59,PI-202410-0040
BT-000099,2024-10-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-10,-15680.0,-81661.59,
BT-000100,2024-11-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-10,-1241.58,-82903.17,
BT-000101,2024-11-18,inflow,KÜ Tamme 12,Müügiarve SI-202411-0041 laekumine,3427.42,-79475.75,SI-202411-0041
BT-000102,2024-11-24,inflow,KÜ Pargi 8,Müügiarve SI-202411-0042 laekumine,1783.36,-77692.39,SI-202411-0042
BT-000103,2024-12-19,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202411-0043 laekumine,3811.55,-73880.84,SI-202411-0043
BT-000104,2024-11-15,inflow,KÜ Metsa 5,Müügiarve SI-202411-0044 laekumine,1193.85,-72686.99,SI-202411-0044
BT-000105,2024-11-25,outflow,Remondipartner OÜ,Ostuarve PI-202411-0041 tasumine,-3207.94,-75894.93,PI-202411-0041
BT-000106,2024-11-24,outflow,Puhastuspartner OÜ,Ostuarve PI-202411-0042 tasumine,-1288.76,-77183.69,PI-202411-0042
BT-000107,2024-12-07,outflow,Tarkvara OÜ,Ostuarve PI-202411-0043 tasumine,-404.49,-77588.18,PI-202411-0043
BT-000108,2024-12-03,outflow,Kontorikulud OÜ,Ostuarve PI-202411-0044 tasumine,-750.73,-78338.91,PI-202411-0044
BT-000109,2024-11-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-11,-15680.0,-94018.91,
BT-000110,2024-12-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-11,-883.41,-94902.32,
BT-000111,2024-12-21,inflow,KÜ Tamme 12,Müügiarve SI-202412-0045 laekumine,1534.62,-93367.7,SI-202412-0045
BT-000112,2024-12-23,inflow,KÜ Pargi 8,Müügiarve SI-202412-0046 laekumine,1907.29,-91460.41,SI-202412-0046
BT-000113,2025-01-19,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202412-0047 laekumine,3380.39,-88080.02,SI-202412-0047
BT-000114,2024-12-17,inflow,KÜ Metsa 5,Müügiarve SI-202412-0048 laekumine,1224.24,-86855.78,SI-202412-0048
BT-000115,2024-12-20,outflow,Remondipartner OÜ,Ostuarve PI-202412-0045 tasumine,-2343.84,-89199.62,PI-202412-0045
BT-000116,2024-12-26,outflow,Puhastuspartner OÜ,Ostuarve PI-202412-0046 tasumine,-1390.77,-90590.39,PI-202412-0046
BT-000117,2025-01-11,outflow,Tarkvara OÜ,Ostuarve PI-202412-0047 tasumine,-327.25,-90917.64,PI-202412-0047
BT-000118,2025-01-03,outflow,Kontorikulud OÜ,Ostuarve PI-202412-0048 tasumine,-611.89,-91529.53,PI-202412-0048
BT-000119,2024-12-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-12,-15680.0,-107209.53,
BT-000120,2025-01-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-12,-652.79,-107862.32,
